Soil_Texture,Soil_Moisture_%,Bulk_Density_g_cm3,Porosity_%,Water_Holding_Capacity_%,pH_Level,Electrical_Conductivity_dS_m,Organic_Carbon_%,Nitrogen_mg_kg,Phosphorus_mg_kg,Potassium_mg_kg,Sulfur_mg_kg,Calcium_mg_kg,Magnesium_mg_kg,Temperature_C,Rainfall_mm,Humidity_%,Solar_Radiation_W_m2,Recommended_Crop,Soil_Health_Score
Sandy,18.46,1.75,39,28.91,5.1,0.44,2.03,84.31,6.28,258.44,38.42,1393.38,165.2,19.86,667.84,78.22,466.28,Peanuts,23.05389821
Clayey,13.32,1.67,40.13,42.46,4.7,1.44,1.23,268.25,36.24,237.97,11.95,982.53,53.49,17.69,349.15,85.89,575.61,Millets,45.05022641
Sandy,31.65,1.76,31.96,16.54,7.4,2.11,1.77,275.67,43.82,303.61,20.33,629.28,210.25,13.02,447.61,56.28,791.75,Corn,49.01252436
Clayey,27.27,1.69,34.43,39.29,7.84,1.06,0.44,415.57,21.12,299.31,58.05,1604.34,59.9,31.21,308.13,70.72,324.25,Rice,50.95804874
Sandy,10.68,1.75,38.65,31.85,6.83,2.35,2.04,406.54,14.25,134.21,47.54,809.08,480.19,19.2,986.97,89.42,742.02,Millets,50.70824781
Clayey,21.56,1.49,44.11,32.24,8.36,0.45,1.84,204.59,48.97,53.66,9.86,1005.55,285.15,39.59,927.88,61.91,521.96,Millets,42.50643017
Clayey,35.15,1.66,31.6,10.93,5.05,0.16,1.34,229.25,12.07,318.31,51.42,224.74,358.7,21.45,1469.61,45.44,517.76,Sugarcane,22.31250463
Loamy,20.17,1.44,42.53,14.47,5.75,2.08,2.35,456.77,44.66,155.47,26.8,1361.58,340.52,29.32,510.67,52.83,247.03,Millets,61.81714517
Loamy,13.41,1.41,36.08,25.3,5.43,1.29,1.6,379.1,37.2,132.16,56.43,1496.05,142.74,36.99,341.23,62.26,113.87,Millets,45.04165147
Sandy,36.24,1.3,35.31,47.17,7.19,0.36,0.54,258.94,46.02,174.3,39.32,371.38,150.2,10.25,481.25,66.01,625.53,Millets,44.16800917
Sandy,9.2,1.48,46.58,33.01,5.77,0.63,0.69,191.79,28.76,135.76,7.76,461.59,253.18,13.37,389.04,78.95,127.91,Peanuts,30.84538126
Loamy,35.56,1.53,32.17,17.62,5.04,1.09,1.62,261.11,13.89,133.05,13.19,1148.46,116.5,37.98,1316.88,40.22,183.01,Sugarcane,18.50955445
Loamy,25.33,1.49,48.21,32.7,6.26,0.87,0.48,131.07,46.21,108.25,18.93,280.03,257.22,38.87,1238.16,46.28,797.03,Millets,34.50363965
Clayey,35.76,1.2,41.04,38.36,5.38,0.85,3.26,317.5,12.88,278.42,43.89,1403.9,257.63,27.76,1318.66,57.59,716.53,Sugarcane,52.15482004
Clayey,7.13,1.52,34.16,37.95,6.98,0.41,2.17,199.9,20.5,324.28,28.72,1422.89,170.11,20.41,1082.72,63.92,782.29,Millets,46.88067099
Clayey,8.69,1.1,42.66,41.15,5.86,1.85,2.44,457.94,37.79,121.83,19.78,1597.19,156.66,32.4,1288.63,39.71,605.39,Millets,63.20856776
Clayey,32.5,1.16,43.86,47.49,5.19,0.57,2.73,253.52,27.64,319.62,15.67,1976.24,275.73,22.44,1406.61,48.61,351.59,Sugarcane,64.23065347
Sandy,21.96,1.59,32.71,29.51,5.22,0.49,2.25,374.33,36.38,265.51,35.94,1716.25,374.66,20.19,1319.68,64.07,141.93,Millets,60.67554967
Loamy,8.92,1.48,43.31,16.79,5.86,0.69,2.48,196.49,11.14,185.57,55.36,438.98,150.23,35.33,1148.75,86.72,744.7,Millets,21.25794248
Clayey,16.86,1.54,46.13,27,8.25,2,1.44,442.73,10.27,283.52,14.24,802.69,82.27,28.96,338.37,52.44,639.26,Rice,45.35379037
Loamy,32.33,1.55,48.46,49.9,8,0.68,1.01,255.11,14.58,84.45,30.91,437.88,439.05,16.94,517.34,57.82,609.02,Millets,38.31957292
Sandy,38.74,1.28,38.31,21.27,6.95,1.82,2.03,228.08,45.84,375.95,18,1088.06,175.22,10.45,396.87,75.54,266.85,Corn,58.4241079
Loamy,13.67,1.48,32.07,19.16,5.6,2.04,1.5,94.14,18.73,169.85,17.79,1399.3,443.92,29.28,570.57,86.78,541.64,Millets,26.39367515
Clayey,33.33,1.24,43.36,20.23,8.25,1.66,3.33,493.98,43.64,168.3,35.14,1733.76,493.82,12.12,550.79,51.7,432.98,Vegetables,75.26892688
Sandy,5.65,1.47,39.8,14.67,7.48,0.31,0.43,238.03,8.82,331.83,27.21,384.98,460.33,37.28,1406.62,39.82,493.39,Millets,31.09048702
Clayey,28.73,1.15,47.44,34.57,4.98,0.19,2.44,54.16,19.07,69.89,7.52,365.98,73.57,33.8,430.4,66.48,235.52,Millets,12.31077757
Clayey,15.22,1.36,31.87,17.38,5.93,1.6,3.15,145.94,29.04,192.74,26.82,745.03,236.91,18.6,492.31,41.18,797.41,Millets,30.60994285
Clayey,34.2,1.11,45.37,48.63,6.67,1.91,1.9,291.03,49.59,238.9,19.36,502.22,64.42,15.53,640.5,68.37,417.28,Millets,61.23134113
Loamy,13.75,1.13,47.42,27.86,4.98,1.35,2.93,457.68,39.18,336.04,29.11,1282.64,226.53,31.64,648.59,88.27,182.58,Vegetables,72.13563989
Sandy,28.88,1.75,39.55,39.37,8.28,1.33,2.02,477.99,32.53,292.38,5.59,1859.98,404.77,15.95,898.67,40.79,375.57,Millets,76.95064354
Loamy,32.73,1.66,38.89,25.95,5.09,0.94,0.91,373.71,49.88,80.69,51.14,1220.53,256.84,11.44,270.13,35.86,617.23,Millets,47.21516716
Sandy,34.21,1.77,43.46,41.09,7.62,2.09,0.61,245.61,5.5,286.54,27.39,1981.74,390.72,23.67,955.28,75.87,537.36,Millets,51.11096026
Loamy,38.21,1.47,34.3,40.63,5.6,2.19,2.05,487.08,28.84,149.83,40.19,306.15,303.58,11.54,1023.62,73.48,260.89,Sugarcane,53.41307191
Loamy,9.07,1.37,38.91,49.68,6.23,2.19,2.76,293.76,31.14,225.93,17.23,1267.73,393.41,19.87,462.71,68.67,771.63,Millets,65.46186174
Clayey,22.83,1.64,45.91,16.4,5.88,1,2.06,133.96,31.95,347.55,56.18,1175.65,372.56,39.91,627.37,88.58,668.96,Millets,48.37966896
Sandy,32.26,1.25,43.29,18.04,8.15,0.88,0.24,315.74,38.99,51.64,17.55,1340.66,59.61,31.86,788.9,52.07,622.48,Millets,30.10771283
Clayey,34.97,1.16,39.15,21.05,6.76,1.43,2.94,456.77,8.57,257.19,48.15,1511.18,297.91,20.95,411.51,83.35,542.25,Vegetables,54.27163973
Sandy,33.57,1.4,45.15,10.65,5.87,0.59,3.23,438.59,14.03,75.37,31.54,728.79,251.85,28.23,1471.19,73.79,516.5,Sugarcane,35.03969338
Loamy,36.13,1.34,35.61,49.49,6.92,2.35,1.32,172.28,26.66,148.8,8.05,1522.38,157.1,11.1,1025.27,81.85,412.43,Sugarcane,42.92524793
Loamy,9.05,1.16,43.63,48.8,4.63,1.06,0.53,197.4,19.46,397.53,25.43,686.07,461.53,39.68,1118.94,34.83,548.51,Millets,50.9697691
Loamy,16.34,1.55,37.13,26.12,6.5,1.34,0.26,325.01,43.34,377.06,12.34,1169.21,109.61,38.44,1474.01,48.84,762.53,Wheat,56.0771114
Clayey,20.83,1.31,44.52,17.56,8.38,2.12,0.49,137.68,43.03,277.63,9.83,1496.55,382.23,26.95,1371.83,79.29,209.54,Rice,47.38983626
Loamy,20.3,1.31,41.25,16.42,7.29,1.88,0.6,259.78,23.49,316.62,38.67,1517.76,361.48,36.43,985.97,84.54,496.79,Wheat,47.77634776
Clayey,36.57,1.3,40.54,48.68,7.41,1.49,2.59,382.32,34.9,382.97,19.2,753.73,182.11,12.6,1480.17,80.32,710.79,Sugarcane,72.49522856
Clayey,18.52,1.63,48.99,14.5,5.34,1.19,1.39,231.85,9.65,354.25,26.63,1212.73,113.56,10.84,1350.24,78.38,248.66,Millets,34.63342457
Loamy,38.25,1.67,39.58,11.25,7.26,0.25,2.19,337.3,28.02,304.34,10.85,835.07,461.39,11.03,355.79,45.43,754.01,Wheat,52.46034832
Sandy,37.79,1.1,34.53,39.25,5.81,2.13,1.85,68.86,44.07,260.9,51.8,1490.78,492.99,28.52,762.83,74.27,488.96,Peanuts,54.3571882
Clayey,13.83,1.21,31.66,49.81,7.88,2.03,1.14,322.09,41.57,281.49,56.67,222.55,167.86,25.57,1253.26,65.19,416.08,Rice,53.92050718
Clayey,30.69,1.77,49.09,20.1,8.15,1.08,3.23,362.09,6.22,376.77,42.37,696.53,286.83,28.81,1025.83,63.09,243.25,Rice,52.48133645
Loamy,6.97,1.16,40.38,45.24,5.9,1.43,1.24,484.41,18.51,306.46,52.56,1129.71,181,13.76,991.45,32,685.85,Millets,60.49240952
Loamy,38.59,1.79,33.59,47.35,5.18,1.13,1.91,488.78,47.05,394.59,19.33,1522.7,292.42,29.55,612.09,79.52,419.01,Corn,84.37993879
Clayey,30.32,1.44,47.53,14.42,5.19,2.38,3.09,406.13,49.25,232.12,19.98,1719.97,102.96,11.74,745.55,65.13,171.96,Vegetables,65.50232499
Sandy,22.74,1.73,30.2,14.59,6.63,1.09,1.5,398.51,44.85,361.99,15.41,786.54,238.35,12.49,800.21,32.22,609.66,Corn,57.90490559
Sandy,28.97,1.3,43.01,45.96,8.03,2.37,1.8,132.45,26.29,226.49,25.8,743.13,90.37,19.45,728.48,51.35,363.64,Millets,39.3306289
Clayey,9.25,1.3,34.4,23.88,5.28,1.28,1.8,102.97,5.89,394.21,42.11,1398.7,478.83,29.69,910.22,80.27,544.48,Millets,36.56689002
Loamy,37.08,1.15,47.93,14.66,5.67,1.74,2.84,286.52,32.67,247.95,28.34,740.33,125.92,23.29,287.06,45.2,434.74,Millets,44.82177199
Clayey,28.53,1.48,40.89,35.3,4.98,0.25,0.44,194.19,11.39,108.76,53.95,1025.13,448.59,28.08,648.19,53.35,715.95,Millets,24.8059187
Sandy,15.08,1.27,32.51,28.57,7.8,1.77,1.25,242.82,5.51,390.11,55.59,1926.88,107.64,36.62,473.24,52.94,286.5,Millets,40.28438289
Sandy,5.77,1.29,41.24,49.89,6.08,1.44,3.03,331.5,20.58,357.54,9.85,234.51,152.22,28.31,868.2,83.39,214.23,Vegetables,57.82872177
Clayey,38.34,1.64,47.02,26.69,7.36,0.9,2.78,185.74,46.33,191.39,20.47,232.83,191.49,11.78,944.99,52.48,519.34,Millets,46.59503502
Clayey,14.33,1.33,36.61,31,5.96,1.53,2.5,480.66,33.34,207.85,45.97,332.51,227.71,33.42,990.34,44.11,577.84,Millets,55.16412443
Sandy,38.08,1.37,31,25.45,7.55,0.3,2.51,117.78,35.14,172.88,35.71,848.02,425.53,20.3,349.79,51.14,746.36,Millets,36.12295168
Loamy,39.87,1.41,37.13,16.32,5.48,0.19,2.1,496.12,18.35,370.05,15.14,173.61,115.54,20.46,446.36,36.03,191.17,Millets,44.7948371
Clayey,37.59,1.38,36.28,34.64,7.22,2.26,0.7,261.85,26.71,292.97,40.6,578.94,283.51,32.05,1139.1,46.84,614.4,Sugarcane,46.16664814
Loamy,31.96,1.56,39.32,29.23,8.33,2.23,0.82,472.06,7.71,103.82,16.63,569.01,160.03,34.3,520.31,74.94,315.82,Millets,31.695481
Sandy,13.7,1.5,35.09,30.37,4.9,2.04,1.55,65.51,34.91,368.14,36.55,110.3,423.45,16.82,702.66,83.56,579.59,Peanuts,39.79805219
Clayey,38.29,1.57,41.05,30.54,7.4,1.49,0.7,424.12,33.81,113.85,39.87,1642.51,322.52,31.21,412.18,36.68,675.8,Millets,55.14730509
Clayey,36.33,1.61,41.19,44.29,8.14,2.13,1.89,246.77,35.56,61.21,9,338.95,274.2,27.42,1399.87,80.61,113.25,Sugarcane,41.4176881
Clayey,38.79,1.7,43.38,34.64,7.7,2.26,1.83,442.13,29.46,100.74,55.74,543.93,466.23,38.82,1007.91,32.37,194.63,Sugarcane,56.89029768
Loamy,28.13,1.75,35.78,33.33,7.78,0.36,3.4,428.16,22.54,196.62,35.71,366.22,201.34,34.18,1418.35,32.68,774.51,Vegetables,48.7705295
Loamy,16.55,1.21,46.64,43.56,6.25,0.55,2.49,264.49,7.7,399.03,48.1,1848.89,171.33,34.17,363.06,42.52,688.21,Millets,58.01666405
Clayey,29.88,1.15,39.24,21.23,5.96,0.42,2.91,91.07,21.97,182.59,23.25,1888.88,99.69,25.14,853.14,81.15,389.42,Millets,28.800323
Sandy,29.85,1.59,35.75,47.2,7.36,1.63,0.26,316.41,7.34,68.74,36.15,1140.76,165.09,29.58,1323.31,88.33,643.06,Millets,29.26966933
Loamy,18.67,1.47,48.47,10.9,6.92,1.41,0.54,182.2,17.87,148.51,38.49,1366.19,483.38,29.71,1118.8,87.31,244.47,Millets,33.33418695
Clayey,21.84,1.52,47.52,24.8,6.53,0.54,2.47,352.34,34.91,62.16,17.26,1983.69,461.23,11.18,1251.46,75.08,180.45,Millets,58.56257238
Clayey,21.12,1.43,41.49,48.69,5.19,2.35,1.37,314.21,25.54,361.81,20.85,1589.87,120.89,30.96,1021.26,66.26,358.16,Millets,61.283957
Loamy,6.15,1.65,47.48,42.9,6.55,1.92,1.79,224.75,5.99,153.21,50.27,1065.43,324.42,15.13,261.22,52.73,597.65,Wheat,40.56545246
Loamy,18.12,1.11,45.82,10.49,8.35,0.65,0.88,485.24,16.49,390.53,20.58,616.45,206.17,14.98,926.34,69.04,622.24,Millets,47.71728257
Loamy,22.17,1.77,35.81,20.93,8.48,2.13,1,397.85,49.85,254.63,29.51,1949.57,494.85,13.37,852.4,31.11,654.52,Millets,70.1573871
Clayey,14.84,1.21,42.34,28.8,5.13,1.26,3.32,221.23,38.94,73.84,45.93,1310.73,59.9,15.95,1321.84,57.25,596.35,Millets,38.23430452
Loamy,13.91,1.54,42.13,20.87,7.27,1.23,0.48,383.6,36.32,280.86,50.38,892.14,108.63,10.85,383.58,39.94,180.26,Wheat,49.59611733
Clayey,32.04,1.59,37.83,11.54,7.72,2.13,0.32,79.89,14.12,229.73,41.46,961.99,445.49,23.24,607.43,52.89,453.07,Millets,21.84699875
Clayey,12.2,1.52,44.79,11.04,4.66,1.52,2.34,356.13,25.28,268.71,36.37,1656.82,53.45,13.4,1025.55,75.74,137.23,Millets,44.17443587
Loamy,23.64,1.54,43.3,40.58,7.45,1.47,2.2,184.73,27.65,336.89,48.03,904.28,272.2,25.57,596.57,58.69,107.41,Millets,55.15225844
Loamy,17.22,1.46,37.91,25.71,6.54,2.21,1.2,358.93,34.58,390.69,56.09,1165.16,400.53,39.3,905.74,83.61,285.19,Wheat,66.62233083
Clayey,29.03,1.3,42.47,11.39,7.62,0.4,3.22,465.14,6.2,334.27,22.74,1419.67,85.2,26.83,1499.01,38.29,475.19,Rice,48.44979376
Loamy,14.79,1.79,46.39,44.47,4.73,2.44,2.18,169.13,41.79,299.12,24.36,756.62,323.6,32.2,1000.84,67.36,330.34,Millets,59.55221206
Loamy,35.12,1.49,47.95,36.86,8.2,0.47,2.75,433.24,22.9,186.91,57.37,709.72,185.12,12.5,1094.59,87.14,139.69,Sugarcane,53.4730949
Sandy,28.78,1.2,35.69,30.51,5.18,1.98,3.38,135.83,45.02,252.03,7.41,1068.35,329.99,28.56,1485.99,83.78,131.23,Peanuts,51.70785292
Clayey,5.27,1.56,45.61,18.47,8.33,0.35,3.22,427.63,12.04,264.77,49.87,354.21,469.58,33.6,495.51,78.35,321.81,Rice,50.69777814
Clayey,39.65,1.66,33.24,20.98,5.45,1.22,1.67,434.62,9.59,347.25,42.18,489.71,306.79,36.69,261.73,85.46,691.88,Millets,43.44141073
Clayey,22.64,1.79,49.21,29.1,7.51,1.56,1.28,368.56,21.13,174.97,56.38,644.12,204.84,18.13,686.61,86.47,224.77,Millets,45.02966083
Sandy,28.17,1.59,38.46,36.86,7.42,1.68,2.02,282.31,32.89,94.92,35.56,1924.01,180.43,37.43,808.78,44.68,531.15,Millets,49.39692805
Clayey,6.63,1.17,38.62,18.37,7.46,2.35,0.38,253.71,37.46,158.15,30.9,1476.55,297.71,34.29,1319.29,38.06,392.07,Millets,41.71544339
Loamy,13.41,1.38,34.55,31.35,8.06,1.76,1.47,354.08,19.13,71.35,20.95,659.41,163.64,27.13,1203.28,33.27,321.46,Millets,29.55048691
Clayey,25.41,1.56,39.38,28.24,4.79,1.78,1.54,193.51,38.51,167.16,47.8,114.8,226.92,35.9,1112.79,46.77,191.87,Millets,32.15965048
Loamy,39.35,1.15,49.01,39.77,5.01,2.06,2.67,475.54,14.36,84.15,37.08,1787.03,403.73,27.65,495.82,67.66,649.38,Vegetables,59.47164431
Loamy,18.18,1.33,37.09,19.34,4.88,0.59,0.42,374.73,40.55,104.28,24.01,393.68,58.05,16.18,649.46,37.03,794.69,Millets,27.15126037
Loamy,35.61,1.23,45.36,47.45,6.27,2.03,2.58,212.38,22.34,243.89,44.81,1818.72,63.48,22.23,880.51,68.88,219.56,Millets,53.45442382
Clayey,38.93,1.57,30.43,19.43,7.04,0.83,3.26,111.75,36.76,261,48.22,800.61,464.08,31.56,971.05,49.54,142.65,Millets,44.88616708
Sandy,5.16,1.39,42.11,45.82,8.18,0.63,1.48,240.78,26.01,86.23,12.69,293.65,488.65,27.43,1472.79,67.41,745.76,Millets,39.92054297
Loamy,22.77,1.38,32.3,34.78,6.52,2.41,2.46,334.52,33.94,300.82,26.63,469.16,199.18,32.9,1257.02,45.04,414.43,Wheat,55.13486473
Sandy,21.72,1.24,42.58,13.76,5.48,0.25,3.04,332.73,47.71,226.58,15.79,1176.65,340.09,13.26,594.92,35.24,607.17,Vegetables,57.17517111
Loamy,7.12,1.15,40.07,12.96,5.87,0.88,0.45,305.83,17.91,303.31,29.68,1285.75,468.04,13.59,1302.36,56.54,300.07,Millets,41.93575435
Clayey,7.94,1.34,33.53,20.06,6.86,1.24,0.88,91.05,36.63,271.91,47.12,389.02,55.83,16.2,1046.82,77.5,521.37,Millets,24.96511647
Clayey,13.73,1.64,44.93,33.82,4.81,2.11,0.99,98.71,11.71,239.65,37.51,980.1,344.16,25.97,313.62,49.3,110.65,Millets,30.13233778
Clayey,26.29,1.47,49.62,25.92,6.48,0.46,3.33,238.74,21.29,52.46,32.4,759.1,169.6,38.87,1386.68,36.33,632.12,Millets,33.14785261
Sandy,22.76,1.52,37.14,31.87,7.71,1.65,0.5,408.8,30.59,56,5.26,970.45,99.33,37.32,385.93,77.51,340.73,Millets,36.77788614
Clayey,13.69,1.49,41.01,26.59,8.45,2.35,3.11,171.09,47.91,275.36,6.81,1406.03,484.75,15.57,1382.29,68.27,579.17,Rice,64.61077192
Clayey,11.06,1.48,44.18,24.34,5.07,2.28,0.59,409.54,30.31,272.9,40.85,716.49,117.3,38.12,967.46,78.82,376.95,Millets,46.92704493
Sandy,17.72,1.36,39.52,20.14,6.35,1.3,1.03,196.22,6.19,358.21,32.12,344.94,321.54,29.82,1365.06,48.95,484.8,Peanuts,30.05540481
Loamy,34.9,1.61,30.54,42.31,5.87,1.22,3.33,176.21,6.35,303.03,48.18,1462.9,343.67,28.72,1330.14,87.93,527.79,Sugarcane,44.82060287
Sandy,16.84,1.5,49.65,34.3,8.26,0.64,2.07,387.22,36.15,275.47,31.46,1957.5,182.25,28.09,1086.91,39.61,669.92,Millets,68.19619016
Loamy,5.72,1.7,39.35,36.33,4.59,1.09,2.27,174.85,26,126.24,41.25,1028.61,321.31,22.31,1473.05,81.23,283.68,Millets,35.02260932
Clayey,7.03,1.62,41.15,16.54,8.2,1.93,3.35,428.37,49.83,368.44,42.27,1606.61,264.38,20.08,1027.13,34.11,460.51,Rice,78.81328074
Clayey,7.58,1.22,49.45,22.8,5.2,2.2,2.22,245.41,11.72,347.89,31.98,543.34,217.9,11.65,508.52,65.61,484.98,Millets,40.98064118
Loamy,7.53,1.23,48.11,37.46,7.99,0.72,2.98,258.91,39.72,51.14,9.37,1412.43,430.03,27.91,219.59,78.53,331.89,Millets,55.57667884
Loamy,21.08,1.15,41.64,42.18,6.93,0.22,2.26,349.14,40.95,128.44,50.26,1919.24,203.73,14.1,1041.67,69.72,474.18,Wheat,61.56182859
Loamy,38.48,1.14,37.2,19.33,6.52,1.16,0.9,475.18,19.4,218.88,44.53,514.11,386.35,17.01,689.69,61.88,200.12,Wheat,45.01039515
Loamy,15.35,1.21,38.54,12.57,8.28,0.14,2.25,496.36,10.76,341.47,49.3,1784.96,145.56,10.01,290.6,76.24,111.38,Millets,50.30527435
Sandy,22.18,1.57,42.08,36.09,6.41,1.49,1.19,55.63,7.5,338.45,6.28,1753.19,222.47,11.31,1101.19,84,388.41,Peanuts,36.47010881
Sandy,18.12,1.31,34.35,20,7.25,1.76,1.07,144.88,45.33,376.1,43.31,1500.32,471.21,31.1,591.61,75.07,584.58,Corn,57.88307161
Loamy,13.02,1.21,46.34,12.92,4.82,2.31,1.26,416.92,35.79,82.05,9.9,1913.69,133.55,12.71,344.1,64.34,640.46,Millets,44.17928796
Clayey,31.61,1.48,33.73,30.02,7.74,0.45,0.97,291.2,10.21,262.77,41.08,1617.2,186.4,24.12,313.32,75.68,495.76,Rice,36.29949629
Loamy,16.83,1.16,38.57,25.34,5.3,0.54,1.19,448.88,39,79.5,56.12,201.72,69.03,33.51,1403.21,37.93,303.32,Millets,34.27417389
Sandy,38.17,1.4,31.49,27.9,5.81,1.81,0.66,227.61,37.38,371.79,9.82,249.75,418.44,17.61,313.56,68.28,503.7,Millets,47.68379328
Loamy,12.8,1.43,38.31,45.65,7.69,2.25,0.35,99.1,22.01,231.27,30.19,194.55,101.14,11.03,286.53,71.52,383.55,Millets,26.48546708
Sandy,5.03,1.28,46.5,43.36,4.63,0.21,2.03,354.35,47.24,103.28,9.03,282.21,456.53,31.11,959.4,48.44,165.48,Millets,55.78232633
Clayey,31.41,1.75,40.66,21.28,7.06,1.57,1.16,196.91,8.11,205.95,50.91,1898.57,274.83,27.49,1282.37,58.7,494.55,Sugarcane,34.58186082
Loamy,36.51,1.8,33.42,49.38,4.54,0.75,0.67,75.4,46.04,105.37,33.98,383.8,68.17,31.04,693.63,68.66,201.28,Millets,23.93614818
Loamy,38.73,1.14,42.27,22.2,6.14,1.55,3.23,357.97,8.24,193.41,55.03,166.11,476.38,39.96,1427.64,81.42,154.68,Sugarcane,41.81037327
Clayey,36.48,1.3,40.27,28.1,8.38,2.04,2.41,339.95,18.36,353.57,5.44,1546.54,271.56,27.05,533.78,69.42,278.44,Rice,57.58295613
Sandy,34.16,1.64,35.08,49.59,6.44,2.36,2.2,487.44,17.43,208.25,22.05,792.54,424.18,10.45,803.69,87.45,655.83,Millets,64.59240199
Sandy,13.61,1.37,47.87,17.23,4.51,1.46,2.15,478.57,20.71,335.75,30.13,1983.1,380.84,24.91,449.92,88.82,391.87,Millets,65.96898436
Loamy,9.76,1.44,32.49,17.21,6.83,2.45,1.59,127.37,23.01,346.88,34.09,1378.37,168.64,21.78,816,65.32,145.17,Millets,37.11524345
Loamy,13.6,1.65,35.42,32.08,4.7,1.51,1.64,164.56,34.21,76.59,33.96,1795.1,440.01,26.07,566.09,50.42,710.53,Millets,38.91768749
Clayey,35.15,1.36,32.68,30.98,5.04,1.73,1.46,307.5,7.58,135.83,8.1,158.76,70.3,21.57,1132.37,74.66,448.44,Sugarcane,16.31696595
Loamy,22.78,1.61,45.91,26.33,4.71,2.41,0.54,280.2,43.5,384.27,15.24,213.62,177.07,32.14,1054.77,38.3,678.74,Corn,51.74955166
Sandy,5.39,1.55,37.18,43.9,5.49,2.08,1.38,220.5,30.41,155.23,57.64,1114.22,246.63,24.77,1085.39,57.62,413.5,Millets,42.80544932
Sandy,39.1,1.32,47.25,27.09,6.4,0.23,3.26,366.54,20.86,335.39,27.43,1794.81,77.72,10.72,494.32,55.04,380.19,Vegetables,60.11641117
Sandy,16.65,1.16,33.24,26.97,8.21,0.26,0.3,202.47,17.53,204.52,6.1,1960.91,198.66,23.88,684.84,47.62,593.97,Millets,28.10371452
Loamy,23.06,1.25,45.34,40.55,7.31,2.37,3.49,414.23,49.71,189.1,44.58,146.37,258.98,34.01,317.46,71.73,322.42,Wheat,71.18906478
Clayey,21.38,1.29,30.88,38.55,4.59,1.7,1.21,67.91,10.22,186.79,43.9,1771.65,369.86,29.79,1270.88,53.29,643.62,Millets,24.98254539
Loamy,34.1,1.79,43.82,23.51,6.88,0.49,3.12,246.56,11.01,141.58,53.73,891.64,349.66,12.91,441.11,74.54,487.1,Wheat,37.10623127
Loamy,26.09,1.67,45.02,41.72,7.37,1.42,0.81,178.66,6.68,88.2,59.56,597.18,86.65,26.96,1176.01,70.82,197.4,Millets,19.94558034
Clayey,32.33,1.1,47.43,42.08,5.97,1.49,2.25,165.29,35.91,364.68,23.73,1359.29,465.41,23.56,1428.84,51.67,355.01,Sugarcane,67.85213964
Clayey,19.77,1.26,40.74,37.18,6.04,1.23,0.35,414.7,12.98,199.55,40.99,421.23,191.96,16.11,1325.09,42.2,446.07,Millets,37.42394461
Sandy,18.87,1.63,39.09,28.31,7.68,2.11,2.59,146.55,21.69,78.72,42.24,1512.19,121.29,17.62,352.7,46.48,209,Millets,29.9003058
Loamy,17.29,1.1,37.2,48.16,5.59,1.99,1.36,411.83,20.66,241.05,52.52,1915.45,486.43,23.86,390.12,38.02,538.12,Millets,66.52410534
Clayey,17.94,1.29,33.98,18.21,7.86,1.03,2.65,73.01,42.96,386.89,28.06,734.4,412.72,35.79,213.07,49.44,701.45,Rice,48.33793391
Clayey,22.47,1.78,48.01,28.01,6.58,1.54,0.63,389.06,10.55,100.03,59.83,1184.25,81.99,11.39,1219.66,41.28,486.76,Millets,34.04565443
Clayey,11.74,1.5,36.53,45.67,4.72,1.13,2.45,328.95,25.93,132.78,14.65,1402.93,156.72,17.6,246.14,40.89,184.61,Millets,45.48722638
Clayey,7.62,1.35,48.25,34.4,7.48,1.05,0.9,78.97,43.23,229.28,5.29,429.02,185.1,30.27,981.8,37.31,393.18,Millets,39.12693368
Clayey,36.06,1.65,34.15,38.82,7.91,1.73,2.77,154.63,9.34,331.36,58.03,1442.9,260.01,17.12,530.27,53.9,328.16,Rice,44.2294701
Clayey,8.53,1.21,46.61,43.19,6.68,0.69,0.56,283.25,24.13,279.76,32.4,170.76,82.46,25.26,1316.93,41.89,408.31,Millets,41.63447529
Clayey,24.94,1.51,33.16,44.76,5.21,2.47,2.55,79.79,36.14,271.07,34.66,1306.55,385.19,33.13,1135.39,65.54,595.75,Millets,51.51097924
Sandy,14.73,1.68,47.42,21.38,6.91,0.44,2.22,314.2,34.18,157.08,32.27,643.83,432.47,33.15,1246.41,86.79,516.87,Millets,51.25734404
Clayey,5.36,1.74,33.9,40.5,6.06,0.32,2,341.6,26.83,331.96,54.33,656.97,442.04,12.82,884.87,46.05,797.41,Millets,59.07582533
Clayey,13.13,1.26,36.42,34.99,4.96,2.41,1.73,424.18,49.81,329.24,18.48,1624.05,286.69,24.02,1238.71,87.79,673.57,Corn,74.86218803
Clayey,23.48,1.23,30.93,26.75,7.91,1.09,1.67,456.44,41.8,236.36,9.23,1942.86,181.52,20.55,929.53,72.64,760.55,Millets,61.46915478
Sandy,33.51,1.36,43.85,12.55,5.3,2.21,1.47,492.34,11.08,204.23,43.15,649.37,88.53,28.41,995.75,68.78,244.87,Millets,35.46889861
Clayey,27.23,1.69,46.54,48.48,5.71,2.07,2.42,260.24,33.6,364.39,46.43,817.74,424.37,27.34,416.73,35.71,546.92,Millets,71.77141471
Loamy,17.6,1.34,37.44,16.13,4.87,1.63,0.79,308.41,36.02,352.23,39.47,1797.76,357.41,20.06,1228.88,39.43,376.69,Millets,54.61266898
